MS	RV	id	tokens
1		0	No other conflict carries such a powerful symbolic and emotional charge among people far removed from the battlefield , '' [SUBJ-PERSON] Kofi Annan [/SUBJ-PERSON] , the [OBJ-ORGANIZATION] United Nations [/OBJ-ORGANIZATION] secretary general , said at a news conference . ''
1		1	[SUBJ-PERSON] Peter Singer [/SUBJ-PERSON] is the Ira W. DeCamp professor of bioethics at the Center for Human Values at [OBJ-ORGANIZATION] Princeton University [/OBJ-ORGANIZATION] .
1		2	[SUBJ-PERSON] Michael Lynne [/SUBJ-PERSON] , the chief executive of [OBJ-ORGANIZATION] New Line Cinema [/OBJ-ORGANIZATION] and owner of Bedell Cellars , said that while his winery would comply with the law , he favored changing it to allow sales of food , soft drinks and other products in winery tasting rooms . ''
1		3	You do have two leaders who want to have a good relationship with the United States and particularly George Bush , '' said [SUBJ-PERSON] Ivo H. Daalder [/SUBJ-PERSON] , a scholar at the [OBJ-ORGANIZATION] Brookings Institution [/OBJ-ORGANIZATION] , '' so that does provide Bush an opportunity to say , ` You guys need to cooperate .
1		4	[SUBJ-PERSON] Eric Nicoli [/SUBJ-PERSON] , the [OBJ-ORGANIZATION] EMI [/OBJ-ORGANIZATION] chairman , said Monday that the company was '' positive about the overall industry trends and EMI 's prospects . ''
1		5	In this day and age , '' said [SUBJ-PERSON] Jonathan Gruber [/SUBJ-PERSON] , a professor of economics at the [OBJ-ORGANIZATION] Massachusetts Institute of Technology [/OBJ-ORGANIZATION] , '' retiree health insurance is perhaps the biggest single determinant of retirement . ''
1		6	He joined [OBJ-ORGANIZATION] Microsoft [/OBJ-ORGANIZATION] in January 1999 when another well-known Microsoft researcher , [SUBJ-PERSON] Kai-Fu Lee [/SUBJ-PERSON] , tapped him to help establish a research laboratory in Beijing .
1		7	When [SUBJ-PERSON] Louis Schweitzer [/SUBJ-PERSON] , the chief of [OBJ-ORGANIZATION] Renault [/OBJ-ORGANIZATION] , made Mr. Ghosn his second in command in 1996 , Renault was still small , exclusively European and smarting from two blows : a painful divorce from Volvo six years earlier and a fiasco in the American market , where its poorly managed takeover of American Motors had forced it to sell the brand to Chrysler in a humiliating fire sale .
1		8	The penchant to make evolution the intellectual linchpin of a wholly atheist outlook is manifest in the writings of [SUBJ-PERSON] Richard Dawkins [/SUBJ-PERSON] , professor of public understanding of science at [OBJ-LOCATION] Oxford [/OBJ-LOCATION] , whose public understanding of human beings is that they are '' survival machines '' for genes .
1		9	Government officials with knowledge of the allegations say he was referring to [SUBJ-PERSON] John J. Mack [/SUBJ-PERSON] , chief executive of [OBJ-PERSON] Morgan Stanley [/OBJ-PERSON] , who was being considered to run the investment firm at the time and who had previously been chief executive of Credit Suisse First Boston .
1		10	There is always the possibility of an 11th-hour deal , because [SUBJ-PERSON] Robert S. Miller [/SUBJ-PERSON] , [OBJ-ORGANIZATION] Delphi [/OBJ-ORGANIZATION] 's chief executive for three months , said he would prefer to stay out of bankruptcy court , though that appears unlikely .
