MS	RV	id	tokens
1		0	Qureshi told me that he meets with [OBJ-LOCATION] Pakistan [/OBJ-LOCATION] 's president , [SUBJ-PERSON] Pervez Musharraf [/SUBJ-PERSON] , about twice a year .
1		1	Kjetil Andre Aamodt of Norway was second (2:38.65) and [SUBJ-PERSON] Peter Fill [/SUBJ-PERSON] of [OBJ-LOCATION] Italy [/OBJ-LOCATION] took third (2:38.78) .
1		2	There is [SUBJ-PERSON] Richard Gasquet [/SUBJ-PERSON] , a 19-year-old from [OBJ-LOCATION] France [/OBJ-LOCATION] who is seeded 13th and into the third round a year after being disqualified from the qualifying tournament for hitting a linesperson with a thrown racket .
1		3	Thus , [OBJ-LOCATION] France [/OBJ-LOCATION] 's extreme rightist leader , [SUBJ-PERSON] Jean-Marie Le Pen [/SUBJ-PERSON] , was convicted in the 1990 's for making light of the Holocaust .
1		4	On a one-day trip to [OBJ-LOCATION] Pakistan [/OBJ-LOCATION] , Mr. Cheney met with President [SUBJ-PERSON] Pervez Musharraf [/SUBJ-PERSON] in the capital , Islamabad , and then got into a helicopter to come here , 65 miles to the north , to tour a Mobile Army Surgical Hospital that the United States sent to the area soon after the earthquake on Oct. 8 .
1		5	Nothing that happens on the 12 playing fields of Germany in this tournament may compare with the sad story of [SUBJ-ORGANIZATION] Gianluca Pessotto [/SUBJ-ORGANIZATION] , a world-class player for [OBJ-LOCATION] Italy [/OBJ-LOCATION] , apparently leaping out of the office of his club , Juventus , on Tuesday .
1		6	A1 Mexico and [OBJ-LOCATION] China [/OBJ-LOCATION] Build Ties President [SUBJ-PERSON] Hu Jintao [/SUBJ-PERSON] of China wooed Mexican leaders during a visit as part of a larger campaign to expand influence in Latin America .
1		7	On Monday , [OBJ-LOCATION] India [/OBJ-LOCATION] 's minister of state for commerce , [SUBJ-PERSON] Jairam Ramesh [/SUBJ-PERSON] , told an audience here that Indians would do well to stop competing against the Chinese and start admiring them . ''
1		8	President [SUBJ-PERSON] Hu Jintao [/SUBJ-PERSON] , who consolidated power as [OBJ-LOCATION] China [/OBJ-LOCATION] 's top leader last fall , will face the delicate task of overseeing Mr. Zhao 's funeral and official obituary .
1		9	[SUBJ-PERSON] Carlos Salinas [/SUBJ-PERSON] led [OBJ-LOCATION] Mexico [/OBJ-LOCATION] from 1988 to 1994 and remains a power broker in the Institutional Revolutionary Party , the authoritarian and corrupt machine that ran Mexico for 70 years before being defeated in the 2000 elections .
0 (coach may be of different nationality)		10	It is a pity the referee made a mess of this game , '' [OBJ-LOCATION] Netherlands [/OBJ-LOCATION] coach [SUBJ-PERSON] Marco van Basten [/SUBJ-PERSON] said .
1		11	[OBJ-LOCATION] Iran [/OBJ-LOCATION] had agreed to a suspension of uranium enrichment before its presidential election last month , in which a conservative candidate , [SUBJ-PERSON] Mahmoud Ahmadinejad [/SUBJ-PERSON] , defeated the more moderate candidate , Ali Akbar Hashemi Rafsanjani , who had been considered more likely to reach a nuclear agreement with the Europeans .
1		12	Prime Minister [SUBJ-PERSON] Romano Prodi [/SUBJ-PERSON] of [OBJ-LOCATION] Italy [/OBJ-LOCATION] said earlier that Syria had agreed in principle to allow unarmed European Union personnel in plain clothes to patrol its border with Lebanon .
1		13	The rookie [SUBJ-PERSON] Chris Guccione [/SUBJ-PERSON] and the veteran Lleyton Hewitt won singles matches to give [OBJ-LOCATION] Australia [/OBJ-LOCATION] a 2-0 lead over Belarus .
1		14	On Friday , St. Patrick 's Day , President Bush is to meet with [OBJ-LOCATION] Ireland [/OBJ-LOCATION] 's prime minister , [SUBJ-PERSON] Bertie Ahern [/SUBJ-PERSON] , who has vowed to put the legalization of the Irish at the top of his agenda .
1		15	We would not permit thousands of children to die in the United States and [OBJ-LOCATION] France [/OBJ-LOCATION] , '' said Jean Dussourd , a French official who is coordinating the project for President [SUBJ-PERSON] Jacques Chirac [/SUBJ-PERSON] . ''
1		16	These are steps that could not have happened even two years ago , '' said [SUBJ-PERSON] Dan Gillerman [/SUBJ-PERSON] , [OBJ-LOCATION] Israel [/OBJ-LOCATION] 's ambassador , referring to the new efforts to gain acceptance . ''
1		17	A1 [OBJ-LOCATION] Iran [/OBJ-LOCATION] Says It Will Not Give In The new president of Iran , [SUBJ-PERSON] Mahmoud Ahmadinejad [/SUBJ-PERSON] , nominated a cabinet dominated by conservatives as officials warned that Iran would not give in to pressure from the West over its nuclear program .
1		18	President Bush and Chancellor Angela [OBJ-PERSON] Merkel [/OBJ-PERSON] of [SUBJ-LOCATION] Germany [/SUBJ-LOCATION] , meeting for the first time since Mrs. Merkel took office last month , promised Friday to step up pressure on Iran at the Security Council to abandon nuclear activities that could be part of a weapons program .
1		19	"Representative [SUBJ-PERSON] Tom Latham [/SUBJ-PERSON] , Republican of [OBJ-LOCATION] Iowa [/OBJ-LOCATION] , also voted for the interest cuts . ''"
1		20	Partly as a result , Canada is working hard to build up its relationship with [OBJ-LOCATION] China [/OBJ-LOCATION] , whose president , [SUBJ-PERSON] Hu Jintao [/SUBJ-PERSON] , visited here last month .
1		21	Harkleroad advanced on Monday with a 6-4 , 6-1 victory over [SUBJ-PERSON] Peng Shuai [/SUBJ-PERSON] of [OBJ-LOCATION] China [/OBJ-LOCATION] and will face fourth-seeded Maria Sharapova .
1		22	An Iraqi government spokesman said that President Jalal Talabani would travel to [OBJ-LOCATION] Iran [/OBJ-LOCATION] for meetings with President [SUBJ-PERSON] Mahmoud Ahmadinejad [/SUBJ-PERSON] this weekend .
1		23	In an interview published in Le Parisien on Friday , Interior Minister [SUBJ-PERSON] Nicolas Sarkozy [/SUBJ-PERSON] of [OBJ-LOCATION] France [/OBJ-LOCATION] said at least seven Frenchmen had been killed while fighting with the insurgency in Iraq .
1		24	Watching the recent visit of [OBJ-LOCATION] China [/OBJ-LOCATION] 's president , [SUBJ-PERSON] Hu Jintao [/SUBJ-PERSON] , left me wondering if America would n't benefit from a '' West Coast foreign policy . ''
1		25	Sharapova advanced with a 6-2 , 6-1 victory over [SUBJ-PERSON] Sania Mirza [/SUBJ-PERSON] of [OBJ-LOCATION] India [/OBJ-LOCATION] .
1		26	The most prominent prisoner is Ahmed Saadat , leader of the Popular Front for the Liberation of Palestine , a small militant group that has said it carried out the killing of [OBJ-LOCATION] Israel [/OBJ-LOCATION] 's tourism minister , [SUBJ-PERSON] Rehavam Zeevi [/SUBJ-PERSON] , in 2001 .
1		27	In an echo of the debate on immigration under way in Washington , the California Legislature gave visiting President [SUBJ-PERSON] Vicente Fox [/SUBJ-PERSON] of [OBJ-LOCATION] Mexico [/OBJ-LOCATION] a two-edged welcome on Thursday .
1		28	Op-Ed Contributor Andrei Illarionov was an economic adviser to President [SUBJ-PERSON] Vladimir Putin [/SUBJ-PERSON] of [OBJ-LOCATION] Russia [/OBJ-LOCATION] until resigning in protest in December .
1		29	But the right kind of help does not consist of selling [OBJ-LOCATION] Pakistan [/OBJ-LOCATION] 's armed forces , led by the country 's military dictator , President [SUBJ-PERSON] Pervez Musharraf [/SUBJ-PERSON] , prestigious , expensive and dangerous weapons systems .
(stopped here bc these seem great)		30	I remember [SUBJ-PERSON] Rosario Murillo [/SUBJ-PERSON] -- the poet and companera of the Sandinista president of [OBJ-LOCATION] Nicaragua [/OBJ-LOCATION] , Daniel Ortega -- standing next to the Temple of Dendur , surrounded by a phalanx of astonishingly beautiful , dangerous-looking Sandinista men .
		31	The topic is likely to be near the top of the agenda when President [SUBJ-PERSON] Hu Jintao [/SUBJ-PERSON] of [OBJ-LOCATION] China [/OBJ-LOCATION] meets President Bush in Washington on Thursday .
		32	At a press conference in the East Room of the White House yesterday , [SUBJ-PERSON] Pervez Musharraf [/SUBJ-PERSON] , the president of [OBJ-LOCATION] Pakistan [/OBJ-LOCATION] , dodged a few questions by joking that Simon & Schuster , which is publishing his memoirs on Sept. 25 , had barred him from commenting until his book is out .
		33	[OBJ-LOCATION] India [/OBJ-LOCATION] 's founding prime minister , [SUBJ-PERSON] Jawaharlal Nehru [/SUBJ-PERSON] , under whose watch the Ukai Dam was built , called them '' modern temples '' of his newly sovereign nation .
		34	An article on Sunday about the political standing of [OBJ-LOCATION] Germany [/OBJ-LOCATION] 's chancellor , [SUBJ-PERSON] Angela Merkel [/SUBJ-PERSON] , misidentified one of the country 's chronic problems she must confront .
		35	President [SUBJ-PERSON] Hamid Karzai [/SUBJ-PERSON] -LRB- [OBJ-LOCATION] Afghanistan [/OBJ-LOCATION] -RRB- Why ?
		36	Prompted by a physical resemblance Mr. O'Brien supposedly has to President [SUBJ-PERSON] Tarja Halonen [/SUBJ-PERSON] of [OBJ-LOCATION] Finland [/OBJ-LOCATION] , '' Late Night '' had run a series of mock campaign ads about the recent presidential race in Finland .
		37	After all , [SUBJ-PERSON] Ariel Sharon [/SUBJ-PERSON] made his name as [OBJ-LOCATION] Israel [/OBJ-LOCATION] 's most ruthless Arab fighter and unrestrained settlement builder .
