MS	RV	id	tokens
1		0	Dante and Randal -LRB- [SUBJ-PERSON] Brian O'Halloran [/SUBJ-PERSON] and Jeff Anderson -RRB- , two unambitious convenience-store clerks in [OBJ-LOCATION] New Jersey [/OBJ-LOCATION] , fritter away their day talking about women , sex and movies , while the stoners Jay -LRB- Jason Mewes -RRB- and Silent Bob stand outside , and outrageous disasters occasionally intrude .
1		1	In [OBJ-LOCATION] Maine [/OBJ-LOCATION] , a veteran tax opponent , [SUBJ-PERSON] Mary Adams [/SUBJ-PERSON] , is gathering signatures to put a spending cap on the ballot next year .
1		2	There 's a tremendous move toward data-driven decision making , '' said Jennifer Booher-Jennings , a researcher at Columbia University who has studied standardized tests in [OBJ-LOCATION] Texas [/OBJ-LOCATION] , the state that , under Gov. [SUBJ-PERSON] George W. Bush [/SUBJ-PERSON] , provided the paradigm for No Child Left Behind .
1		3	Banker Acquitted in Mutual Funds Trading Case A former broker with Bank of America , Theodore C. Sihpol III , was acquitted of most of the charges of improper trading in mutual funds in the first major legal defeat for [SUBJ-PERSON] Eliot Spitzer [/SUBJ-PERSON] , the [OBJ-LOCATION] New York [/OBJ-LOCATION] attorney general .
1		4	The most spectacular defeat was that of Senator [SUBJ-PERSON] George Allen [/SUBJ-PERSON] of [OBJ-LOCATION] Virginia [/OBJ-LOCATION] , who won the prize for most breathtaking downfall , not only losing his Senate seat to help hand power of the entire body to the Democrats , but also tarnishing a once-golden reputation in under three months flat .
1		5	Purchased the contracts of LHP J.P. Howell and RHP [SUBJ-PERSON] Ryan Jensen [/SUBJ-PERSON] from [OBJ-LOCATION] Omaha [/OBJ-LOCATION] of the PCL .
1		6	It 's easy to convince the already convinced , '' said Representative [SUBJ-PERSON] Bobby Jindal [/SUBJ-PERSON] , Republican of [OBJ-LOCATION] Louisiana [/OBJ-LOCATION] . ''
1		7	[SUBJ-PERSON] Martin Connor [/SUBJ-PERSON] , a state senator from [OBJ-LOCATION] Brooklyn [/OBJ-LOCATION] who was once the Senate minority leader and is now a rival of the current Democratic leadership in that chamber , offered a similar assessment . ''
1		8	Devoted mother of Missy Rosengarten of Carmel , N.Y. , [SUBJ-PERSON] Julie O'Connor [/SUBJ-PERSON] of [OBJ-LOCATION] Swampscott [/OBJ-LOCATION] , MA. , Steven Young of Rutland , VT. and Chris Young of Carmel , N.Y. Sister to June Jenkins and Anne Alford , both of Fort Worth , Texas ; former wife of the late Robert F. Young of Hastings-On-Hudson , N.Y. Survived by 8 grandchildren , many loving nieces , nephews and countless cherished friends .
1		9	But instead of insulting Jay-Z -LRB- with whom Cam ` ron has tried in vain to start a feud -RRB- or sneering at the old guy with the crown , the Diplomats brought out the [OBJ-LOCATION] Atlanta [/OBJ-LOCATION] rapper [SUBJ-PERSON] Yung Joc [/SUBJ-PERSON] to do his breakthrough hit , '' It 's Goin ' Down . ''
1		10	Think hard down the road to a future administration not occupied by the people we have now , '' said [SUBJ-PERSON] Bob Barr [/SUBJ-PERSON] , a former congressman from [OBJ-LOCATION] Georgia [/OBJ-LOCATION] . ''
1		11	Officials from the Securities and Exchange Commission and the office of [SUBJ-PERSON] Eliot Spitzer [/SUBJ-PERSON] , the [OBJ-LOCATION] New York [/OBJ-LOCATION] attorney general , have been investigating whether American International Group used certain insurance deals to make its financial results look better than they actually were .
1		12	The panel ultimately found a breakdown in communication and safety protocols within the National Aeronautics and Space Administration , and Mr. Hotz was searing in his criticism of the agency 's handling of the details involving the deaths of the astronauts , who included [SUBJ-PERSON] Christa McAuliffe [/SUBJ-PERSON] , a teacher from [OBJ-LOCATION] New Hampshire [/OBJ-LOCATION] .
1		13	The freed Uighurs now spend most of their days in the refugee camp in a poor slum of Tirana , according to [SUBJ-PERSON] Sabin Willett [/SUBJ-PERSON] , a lawyer in [OBJ-LOCATION] Boston [/OBJ-LOCATION] who represents two of the men .
1		14	And this year 's '' Kung Fu Hustle , '' a comedy produced by the [OBJ-LOCATION] Hong Kong [/OBJ-LOCATION] actor and director [SUBJ-PERSON] Stephen Chow [/SUBJ-PERSON] , has already pulled in more than $ 54 million overseas .
1		15	But it is doubtful that Mr. McCain will weigh in against the idea this time : the legislation to support the project is being sponsored by him and Senator [SUBJ-PERSON] Jon Kyl [/SUBJ-PERSON] , [OBJ-LOCATION] Arizona [/OBJ-LOCATION] Republicans who are among those aggressively promoting new rules for handling Congressional spending requests .
1		16	The senator alienated some moderate voters last year with his push for federal intervention to maintain life support on [SUBJ-PERSON] Terri Schiavo [/SUBJ-PERSON] , a brain-damaged [OBJ-LOCATION] Florida [/OBJ-LOCATION] woman .
1		17	One centrist Democrat , Senator [SUBJ-PERSON] Ben Nelson [/SUBJ-PERSON] of [OBJ-LOCATION] Nebraska [/OBJ-LOCATION] , said Tuesday that he had '' not seen anything that would cause me to vote against '' confirmation of Judge Roberts to be the nation 's 17th chief justice .
1		18	Representative [SUBJ-PERSON] Joe Barton [/SUBJ-PERSON] of [OBJ-LOCATION] Texas [/OBJ-LOCATION] decided that last week was a fine time to haul in college bowl officials to face the House Subcommittee on Commerce , Trade and Consumer Protection .
1		19	KidSave was championed by [SUBJ-PERSON] Bob Kerrey [/SUBJ-PERSON] when he was a Democratic senator from [OBJ-LOCATION] Nebraska [/OBJ-LOCATION] , but in its different iterations it attracted support from a range of Democrats -LRB- Lieberman , Moynihan and Breaux -RRB- and Republicans -LRB- Gregg , Grassley and Santorum -RRB- .
1		20	[SUBJ-PERSON] Sergei Dolidovich [/SUBJ-PERSON] of [OBJ-LOCATION] Belarus [/OBJ-LOCATION] received a second five-day suspension Tuesday after testing positive for high levels of hemoglobin .
1		21	In mid-October , [OBJ-LOCATION] Gibraltar [/OBJ-LOCATION] 's chief minister , [SUBJ-PERSON] Peter Caruana [/SUBJ-PERSON] , announced a deal was close to permit joint Spanish use of the Gibraltar airport .
1		22	To be noticed , to be wanted , to be loved , to walk into a place and have others care about what you 're doing , even what you had for lunch that day : that 's what people want , in my opinion , '' said [SUBJ-PERSON] Kaysar Ridha [/SUBJ-PERSON] , 26 , of [OBJ-LOCATION] Irvine [/OBJ-LOCATION] , Calif. , a recent favorite of fans of the popular CBS reality series '' Big Brother . '' ''
